Sample	PDid	cell_type	Exposure	SBS1+SBS5	SBSBlood	SBS7a	SBS9	SBSA	SBSB	SBSC	SBSD	SBSE	SBSF	SBSG	SBSH	SBSUnassigned	SBSNA
PD47702b_ds0001	PD47702	B cells	Chemo	288	1252	0	85	0	0	0	0	0	0	68	0	0	0
PD47702b_ds0003	PD47702	Memory T cells	Chemo	1003	1337	180	0	0	0	0	0	0	0	51	0	0	0
PD47702b_ds0004	PD47702	Monocytes	Chemo	440	1320	0	0	0	0	0	0	0	0	0	0	0	0
PD47703b_ds0001	PD47703-1	B cells	Chemo	707	424	0	0	990	71	0	2121	0	0	0	0	0	0
PD47703b_ds0002	PD47703-1	Naive T cells	Chemo	1507	538	0	0	430	407	430	1830	0	0	0	2583	538	0
PD47703b_ds0003	PD47703-1	Memory T cells	Chemo	989	742	3585	0	0	178	0	2472	0	0	0	2349	0	0
PD47703b_ds0004	PD47703-1	Monocytes	Chemo	737	541	0	0	786	140	0	1671	0	0	0	0	246	0
PD50306b_ds0001	PD50306	B cells	Chemo	717	331	0	0	0	0	0	0	0	1711	0	0	0	0
PD50307b_ds0001	PD50307	B cells	Chemo	265	835	0	0	0	0	0	0	0	292	0	0	0	0
PD50307b_ds0002	PD50307	Memory T cells	Chemo	1630	1057	241	0	0	0	0	0	0	0	91	0	0	0
PD50307b_ds0003	PD50307	Naive T cells	Chemo	1637	935	0	0	0	0	0	0	0	0	0	0	26	0
PD50307b_ds0004	PD50307	Monocytes	Chemo	197	860	0	0	0	0	0	0	0	353	0	0	0	0
PD50308b_ds0001	PD50308	B cells	Chemo	563	504	0	0	1896	0	0	0	0	0	0	0	0	0
PD50308b_ds0002	PD50308	Memory T cells	Chemo	1291	403	484	0	1533	103	0	0	0	0	0	0	0	0
PD50308b_ds0003	PD50308	Naive T cells	Chemo	438	642	0	0	1838	0	0	0	0	0	0	0	0	0
PD50308b_ds0004	PD50308	Monocytes	Chemo	287	574	0	0	1532	0	0	0	0	0	0	0	0	0
PD37580a	PD37580	Monocytes	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD37580b	PD37580	B cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD37580c	PD37580	Naive T cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD37580d	PD37580	Memory T cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD60009a	PD60009	Monocytes	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD60009b	PD60009	B cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD60009c	PD60009	Naive T cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD60009d	PD60009	Memory T cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD60010a	PD60010	Monocytes	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD60010b	PD60010	B cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD60010c	PD60010	Naive T cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD60010d	PD60010	Memory T cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD60011a	PD60011	Monocytes	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD60011b	PD60011	B cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD60011c	PD60011	Naive T cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD60011d	PD60011	Memory T cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD44579a	PD44579	Monocytes	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD44579b	PD44579	B cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD44579c	PD44579	Naive T cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD44579d	PD44579	Memory T cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD47702a	PD47702	Naive T cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD40315a	PD40315	Monocytes	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD40315b	PD40315	B cells	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD40315c	PD40315	Naive T cells	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD40315d	PD40315	Memory T cells	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD40521a	PD40521	Monocytes	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD40521b	PD40521	B cells	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD40521c	PD40521	Naive T cells	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD40521d	PD40521	Memory T cells	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD47738a	PD47738	Monocytes	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD47738b	PD47738	B cells	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD47738c	PD47738	Naive T cells	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD47738d	PD47738	Memory T cells	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD48402a	PD48402	Monocytes	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD48402b	PD48402	B cells	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD48402c	PD48402	Naive T cells	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD48402d	PD48402	Memory T cells	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD49236a	PD49236	Monocytes	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD49236b	PD49236	B cells	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD49236c	PD49236	Naive T cells	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD49236d	PD49236	Memory T cells	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD49237a	PD49237	Monocytes	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD49237b	PD49237	B cells	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD49237c	PD49237	Naive T cells	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD49237d	PD49237	Memory T cells	Normal	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD47541b_ds0001	PD47541	B cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD47541b_ds0002	PD47541	Memory T cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD47541b_ds0003	PD47541	Naive T cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD47695b_ds0003	PD47695	Naive T cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD47695b_ds0004	PD47695	Monocytes	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD50306b_ds0002	PD50306	Memory T cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD50306b_ds0003	PD50306	Naive T cells	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
PD50306b_ds0004	PD50306	Monocytes	Chemo	0	0	0	0	0	0	0	0	0	0	0	0	0	300
