Sample	Patient	Method
PD50308_14	PD50308	colonies
PD50308_4	PD50308	colonies
PD50308_28	PD50308	colonies
PD50308_3	PD50308	colonies
PD50308_17	PD50308	colonies
PD50308_13	PD50308	colonies
PD50308_15	PD50308	colonies
PD50308_38	PD50308	colonies
PD50308_11	PD50308	colonies
PD50308_9	PD50308	colonies
PD50308_33	PD50308	colonies
PD50308_40	PD50308	colonies
PD50308_18	PD50308	colonies
PD50308_30	PD50308	colonies
PD50308_7	PD50308	colonies
PD50308_6	PD50308	colonies
PD50308_20	PD50308	colonies
PD50308_8	PD50308	colonies
PD50308_10	PD50308	colonies
PD50308_31	PD50308	colonies
PD50308_2	PD50308	colonies
PD50308_27	PD50308	colonies
PD50308_24	PD50308	colonies
PD50308_29	PD50308	colonies
PD50308_22	PD50308	colonies
PD50308_16	PD50308	colonies
PD50308_78	PD50308	colonies
PD50308_79	PD50308	colonies
PD50308_80	PD50308	colonies
PD50308_61	PD50308	colonies
PD50308_49	PD50308	colonies
PD50308_64	PD50308	colonies
PD50308_65	PD50308	colonies
PD50308_63	PD50308	colonies
PD50308_54	PD50308	colonies
PD50308_62	PD50308	colonies
PD50308_69	PD50308	colonies
PD50308_67	PD50308	colonies
PD50308_58	PD50308	colonies
PD50308_43	PD50308	colonies
PD50308_76	PD50308	colonies
PD50308_51	PD50308	colonies
PD50308_68	PD50308	colonies
PD50308_73	PD50308	colonies
PD50308_77	PD50308	colonies
PD50308_60	PD50308	colonies
PD50308_75	PD50308	colonies
PD50308_74	PD50308	colonies
PD50308_48	PD50308	colonies
PD50308_81	PD50308	colonies
PD50308_46	PD50308	colonies
PD50308_57	PD50308	colonies
PD50308_56	PD50308	colonies
PD50308_70	PD50308	colonies
PD60009_5	PD60009	colonies
PD60009_3	PD60009	colonies
PD60009_9	PD60009	colonies
PD60009_2	PD60009	colonies
PD60009_4	PD60009	colonies
PD60009_7	PD60009	colonies
PD60009_1	PD60009	colonies
PD60009_6	PD60009	colonies
PD60009_8	PD60009	colonies
PD60009_15	PD60009	colonies
PD60009_14	PD60009	colonies
PD60009_11	PD60009	colonies
PD60009_13	PD60009	colonies
PD60009_17	PD60009	colonies
PD60009_16	PD60009	colonies
PD60010_2	PD60010	colonies
PD60010_3	PD60010	colonies
PD60010_13	PD60010	colonies
PD60010_4	PD60010	colonies
PD60010_1	PD60010	colonies
PD60010_19	PD60010	colonies
PD60010_9	PD60010	colonies
PD60010_10	PD60010	colonies
PD60010_8	PD60010	colonies
PD60010_7	PD60010	colonies
PD60010_6	PD60010	colonies
PD60010_18	PD60010	colonies
PD60010_5	PD60010	colonies
PD60010_14	PD60010	colonies
PD60010_17	PD60010	colonies
PD60010_15	PD60010	colonies
PD60010_12	PD60010	colonies
PD60011_6	PD60011	colonies
PD60011_3	PD60011	colonies
PD60011_4	PD60011	colonies
PD60011_2	PD60011	colonies
PD60011_8	PD60011	colonies
PD60011_5	PD60011	colonies
PD60011_7	PD60011	colonies
PD60011_9	PD60011	colonies
PD60011_1	PD60011	colonies
PD60011_11	PD60011	colonies
PD60011_14	PD60011	colonies
PD60011_17	PD60011	colonies
PD60011_13	PD60011	colonies
PD60011_12	PD60011	colonies
PD60011_16	PD60011	colonies
PD60011_15	PD60011	colonies
PD41048aa_ds0001	PD41048	nanoseq
PD41048e_ds0001	PD41048	nanoseq
PD41048h_ds0001	PD41048	nanoseq
PD41048i_ds0001	PD41048	nanoseq
PD41048j_ds0001	PD41048	nanoseq
PD41048k_ds0001	PD41048	nanoseq
PD43976vo_ds0001	PD43976	nanoseq
PD43976vv_ds0001	PD43976	nanoseq
PD43976vy_ds0001	PD43976	nanoseq
PD43976wk_ds0001	PD43976	nanoseq
PD45534aro_ds0001	PD45534	nanoseq
PD45534ars_ds0001	PD45534	nanoseq
PD45534art_ds0001	PD45534	nanoseq
PD45534aru_ds0001	PD45534	nanoseq
PD45534arv_ds0001	PD45534	nanoseq
PD45534arx_ds0001	PD45534	nanoseq
PD47536b_ds0001	PD47536	nanoseq
PD47536b_ds0002	PD47536	nanoseq
PD47536b_ds0003	PD47536	nanoseq
PD47536b_ds0004	PD47536	nanoseq
PD47537b_ds0001	PD47537	nanoseq
PD47537b_ds0002	PD47537	nanoseq
PD47537b_ds0003	PD47537	nanoseq
PD47537b_ds0004	PD47537	nanoseq
PD47538b_ds0001	PD47538	nanoseq
PD47538b_ds0002	PD47538	nanoseq
PD47538b_ds0003	PD47538	nanoseq
PD47538b_ds0004	PD47538	nanoseq
PD47539b_ds0001	PD47539	nanoseq
PD47539b_ds0002	PD47539	nanoseq
PD47539b_ds0003	PD47539	nanoseq
PD47539b_ds0004	PD47539	nanoseq
PD47540b_ds0001	PD47540	nanoseq
PD47540b_ds0002	PD47540	nanoseq
PD47540b_ds0003	PD47540	nanoseq
PD47540b_ds0004	PD47540	nanoseq
PD47541b_ds0004	PD47541	nanoseq
PD47695b_ds0001	PD47695	nanoseq
PD47695b_ds0002	PD47695	nanoseq
PD47696b_ds0001	PD47696	nanoseq
PD47696b_ds0002	PD47696	nanoseq
PD47696b_ds0003	PD47696	nanoseq
PD47696b_ds0004	PD47696	nanoseq
PD47697b_ds0001	PD47697	nanoseq
PD47697b_ds0002	PD47697	nanoseq
PD47697b_ds0003	PD47697	nanoseq
PD47697b_ds0004	PD47697	nanoseq
PD47698b_ds0001	PD47698	nanoseq
PD47698b_ds0002	PD47698	nanoseq
PD47698b_ds0003	PD47698	nanoseq
PD47698b_ds0004	PD47698	nanoseq
PD47699b_ds0001	PD47699	nanoseq
PD47699b_ds0002	PD47699	nanoseq
PD47699b_ds0003	PD47699	nanoseq
PD47699b_ds0004	PD47699	nanoseq
PD47700b_ds0001	PD47700	nanoseq
PD47700b_ds0002	PD47700	nanoseq
PD47700b_ds0003	PD47700	nanoseq
PD47700b_ds0004	PD47700	nanoseq
PD47701b_ds0001	PD47701	nanoseq
PD47701b_ds0002	PD47701	nanoseq
PD47701b_ds0003	PD47701	nanoseq
PD47701b_ds0004	PD47701	nanoseq
PD47702b_ds0001	PD47702	nanoseq
PD47702b_ds0003	PD47702	nanoseq
PD47702b_ds0004	PD47702	nanoseq
PD47703b_ds0001	PD47703	nanoseq
PD47703b_ds0002	PD47703	nanoseq
PD47703b_ds0003	PD47703	nanoseq
PD47703b_ds0004	PD47703	nanoseq
PD50306b_ds0001	PD50306	nanoseq
PD50307b_ds0001	PD50307	nanoseq
PD50307b_ds0002	PD50307	nanoseq
PD50307b_ds0003	PD50307	nanoseq
PD50307b_ds0004	PD50307	nanoseq
PD50308b_ds0001	PD50308	nanoseq
PD50308b_ds0002	PD50308	nanoseq
PD50308b_ds0003	PD50308	nanoseq
PD50308b_ds0004	PD50308	nanoseq
